Code,Name,Beta,Sharpe,Treynor,Drawdown,HHI,StdDev
147830,Axis Retirement Fund - Aggressive Plan - Regular Growth,-0.433198516,0.988014809,-1.451188382,-0.171750988,0.00215867,0.040081783
131301,DSP 10Y G-Sec Fund - Direct Plan - Growth,-0.2878727,1.060449031,-1.452549089,-0.102857304,0.002105376,0.024839407
101762,HDFC Flexi Cap Fund - Growth Plan,-0.832105572,0.849844331,-1.453230109,-0.360922407,0.002330918,0.08963408
142093,UTI FTIF Series XXVIII-II (1210 Days) - Regular Plan - Growth Option,0.003425918,-0.2910686,-1.454814865,-0.014647038,0.003051233,0.001078671
103131,HDFC Multi-Asset Fund - Growth Option,-0.645580237,1.071155617,-1.455830522,-0.294050917,0.002154638,0.055272385
102262,HSBC Conservative Hybrid Fund - Regular Growth,-0.304050624,0.832482856,-1.457134814,-0.137895551,0.002127327,0.033525099
131864,Aditya Birla Sun Life Asset Allocator FoF- Regular Plan - Growth Option,-0.59967202,0.985007809,-1.459096906,-0.29002874,0.002200116,0.055957458
151649,Kotak Nifty Smallcap 50 Index Fund - Direct Plan - Growth,-1.640551047,1.292554925,-1.459271877,-0.33814537,0.006567418,0.116674698
149199,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Direct Growth,-0.110249512,0.526533672,-1.459342792,-0.068955919,0.003288708,0.019248973
150345,Tata Nifty India Digital ETF Fund of Fund -Regular Plan-Growth,-0.852101615,0.998959485,-1.459566753,-0.252979117,0.004118866,0.078427289
145856,SBI Debt Fund Series C - 33 (1216 Days) - Direct Plan - Growth,0.010636586,-0.864374844,-1.460074779,-0.024866864,0.001357544,0.001131814
131297,DSP 10Y G-Sec Fund - Regular Plan - Growth,-0.279679129,1.05427056,-1.460457155,-0.101309001,0.002104644,0.024405996
130722,Invesco India Credit Risk Fund - Direct Plan - Growth,-0.240447977,0.854384459,-1.463132166,-0.107942367,0.002117935,0.025938871
119131,HDFC Multi-Asset Fund - Growth Option - Direct Plan,-0.690736678,1.103483021,-1.465600506,-0.29867068,0.002170689,0.057791265
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,-0.853897675,0.872794274,-1.471842216,-0.36001616,0.002344252,0.09070995
131865,Aditya Birla Sun Life Asset Allocator FoF- Direct Plan - Growth Option,-0.622698674,1.00667592,-1.472481522,-0.290763813,0.002212117,0.057377001
118527,Templeton India Equity Income Fund - Direct - Growth,-1.142406068,1.235410555,-1.47430118,-0.384975524,0.002341604,0.085880613
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,-0.473312367,0.811120115,-1.474376103,-0.173738729,0.005371096,0.054196432
152102,Axis Retirement Fund - Dynamic Plan - Regular Growth,-0.54409488,1.008055633,-1.475776472,-0.158795934,0.009217727,0.050177665
119075,HDFC Dynamic Debt Fund - Growth Option - Direct Plan,-0.298962542,1.052759751,-1.476299389,-0.086333854,0.002116046,0.026409591
151309,Aditya Birla Sun Life Multi Asset Allocation Fund-Regular Growth,-0.651496808,1.085534757,-1.476644463,-0.173296817,0.005657641,0.055826992
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,-0.731390536,0.961726449,-1.476991378,-0.319489397,0.002220351,0.070757986
